"","foo.cont","foo.e","foo.value"
"5630","Bolivia","Neonatal.Disorders",-22.01
"889","Switzerland","Cardiovascular.Diseases",-22
"3281","Lebanon","Interpersonal.Violence",-21.71
"6065","Armenia","Lower.Respiratory.Infections",-21.64
"206","Uzbekistan","Lower.Respiratory.Infections",-21.64
"666","Togo","Diarrheal.Diseases",-21.62
"3890","Honduras","Diarrheal.Diseases",-21.52
"5887","Bangladesh","Malaria",-21.44
"2898","Marshall Islands","Diarrheal.Diseases",-21.43
"2902","Marshall Islands","Neonatal.Disorders",-21.43
"3212","Liberia","Neonatal.Disorders",-21.18
"112","Vietnam","Neonatal.Disorders",-21.12
"3997","Guinea-Bissau","Nutritional.Deficiencies",-21.08
"2681","Mongolia","Diarrheal.Diseases",-21.03
"1383","Serbia","Neonatal.Disorders",-20.79
"4733","Dominica","Cardiovascular.Diseases",-20.68
"3976","Guinea-Bissau","Protein.Energy.Malnutrition",-20.61
"480","Turkmenistan","Diarrheal.Diseases",-20.47
"4638","Egypt","Neonatal.Disorders",-20.46
"4059","Guatemala","Nutritional.Deficiencies",-20.3
"3952","Guyana","Diarrheal.Diseases",-20.3
"6250","Algeria","Neonatal.Disorders",-20.12
"4512","Estonia","Self.harm",-19.94
"5599","Bosnia and Herzegovina","Neonatal.Disorders",-19.94
"3926","Haiti","Lower.Respiratory.Infections",-19.79
"5385","Cambodia","Tuberculosis",-19.78
"3057","Malawi","Neonatal.Disorders",-19.77
"516","Turkey","Lower.Respiratory.Infections",-19.75
"3067","Malawi","Nutritional.Deficiencies",-19.46
"2779","Micronesia","Lower.Respiratory.Infections",-19.45
"1913","Peru","Tuberculosis",-19.43
"2602","Mozambique","Nutritional.Deficiencies",-19.38
"81","Yemen","Neonatal.Disorders",-19.36
"2034","Palestine","Neonatal.Disorders",-18.97
"2581","Mozambique","Protein.Energy.Malnutrition",-18.92
"2809","Mexico","Neonatal.Disorders",-18.89
"3046","Malawi","Protein.Energy.Malnutrition",-18.89
"3773","Indonesia","Tuberculosis",-18.8
"1655","Rwanda","Conflict.and.Terrorism",-18.77
"6158","Angola","Lower.Respiratory.Infections",-18.62
"1631","Saint Kitts and Nevis","Neonatal.Disorders",-18.41
"4700","Dominican Republic","Neonatal.Disorders",-18.32
"3802","India","Lower.Respiratory.Infections",-18.28
"5626","Bolivia","Diarrheal.Diseases",-18.23
"6219","American Samoa","Neonatal.Disorders",-18.22
"3965","Guyana","Malaria",-18.05
"4934","Croatia","Cirrhosis.and.Other.Chronic.Liver.Diseases",-18.03
"4324","Gabon","Diarrheal.Diseases",-18.02
"4038","Guatemala","Protein.Energy.Malnutrition",-17.98
"1485","Sao Tome and Principe","Malaria",-17.93
"5237","Chad","Nutritional.Deficiencies",-17.93
"449","Tuvalu","Diarrheal.Diseases",-17.85
"456","Tuvalu","Tuberculosis",-17.85
"764","Tanzania","Lower.Respiratory.Infections",-17.85
"5216","Chad","Protein.Energy.Malnutrition",-17.8
"5134","Colombia","Neonatal.Disorders",-17.66
"82","Yemen","Lower.Respiratory.Infections",-17.63
"59","Zambia","Malaria",-17.54
"4600","El Salvador","Conflict.and.Terrorism",-17.35
"1941","Paraguay","Neonatal.Disorders",-17.32
"3771","Indonesia","Lower.Respiratory.Infections",-17.26
"2159","Norway","Lower.Respiratory.Infections",-17.23
"3429","Kiribati","Neonatal.Disorders",-17.23
"267","United States Virgin Islands","Neonatal.Disorders",-17.22
"5719","Benin","Diarrheal.Diseases",-17.19
"1322","Sierra Leone","Lower.Respiratory.Infections",-17.19
"3811","India","Nutritional.Deficiencies",-17.15
"1477","Sao Tome and Principe","Lower.Respiratory.Infections",-17.03
"5165","China","Neonatal.Disorders",-16.9
"3313","Latvia","Drowning",-16.82
"3354","Kyrgyzstan","Chronic.Respiratory.Diseases",-16.73
"2805","Mexico","Diarrheal.Diseases",-16.72
"3292","Latvia","Chronic.Respiratory.Diseases",-16.72
"1600","Saint Lucia","Neonatal.Disorders",-16.65
"4975","Cote d'Ivoire","Diarrheal.Diseases",-16.59
"1216","Slovenia","Road.Injuries",-16.54
"3222","Liberia","Nutritional.Deficiencies",-16.49
"1672","Rwanda","Nutritional.Deficiencies",-16.46
"1106","South Korea","Cardiovascular.Diseases",-16.46
"5533","Brazil","Diarrheal.Diseases",-16.44
"2747","Moldova","Neonatal.Disorders",-16.36
"2871","Mauritania","Neonatal.Disorders",-16.29
"3201","Liberia","Protein.Energy.Malnutrition",-16.28
"2840","Mauritius","Neonatal.Disorders",-16.17
"813","Taiwan","Road.Injuries",-16.14
"3267","Lebanon","Conflict.and.Terrorism",-16.14
"1260","Slovakia","Lower.Respiratory.Infections",-16.12
"3987","Guinea-Bissau","Neonatal.Disorders",-16.1
"2624","Morocco","Lower.Respiratory.Infections",-16.07
"5886","Bangladesh","Drowning",-16.02
"1725","Romania","Lower.Respiratory.Infections",-15.96
"1651","Rwanda","Protein.Energy.Malnutrition",-15.93
"577","Trinidad and Tobago","Neonatal.Disorders",-15.92
"2593","Mozambique","Lower.Respiratory.Infections",-15.89
"4772","Djibouti","Nutritional.Deficiencies",-15.82
"1092","South Korea","Road.Injuries",-15.8
"949","Suriname","Neonatal.Disorders",-15.78
"3851","Hungary","Road.Injuries",-15.72
"4933","Croatia","Digestive.Diseases",-15.72
"2500","Nauru","Lower.Respiratory.Infections",-15.65
"2486","Nauru","Chronic.Respiratory.Diseases",-15.65
"2499","Nauru","Neonatal.Disorders",-15.65
"4254","Georgia","Road.Injuries",-15.63
"4751","Djibouti","Protein.Energy.Malnutrition",-15.62
"4936","Croatia","Road.Injuries",-15.59
"5804","Belarus","Road.Injuries",-15.44
"1803","Portugal","Cirrhosis.and.Other.Chronic.Liver.Diseases",-15.3
"4028","Guinea","Nutritional.Deficiencies",-15.25
"3346","Laos","Nutritional.Deficiencies",-15.23
"5414","Burundi","Lower.Respiratory.Infections",-15.21
"5592","Bosnia and Herzegovina","Conflict.and.Terrorism",-15.16
"5152","China","Chronic.Respiratory.Diseases",-15.15
"694","Timor","Conflict.and.Terrorism",-15.15
"4007","Guinea","Protein.Energy.Malnutrition",-15.11
"1011","Sri Lanka","Neonatal.Disorders",-15.06
"1906","Peru","Diarrheal.Diseases",-15.06
"3325","Laos","Protein.Energy.Malnutrition",-14.89
"4791","Denmark","Self.harm",-14.78
"1786","Puerto Rico","Neonatal.Disorders",-14.73
"1131","South Africa","Diarrheal.Diseases",-14.67
"2732","Moldova","Digestive.Diseases",-14.64
"3089","Madagascar","Lower.Respiratory.Infections",-14.61
"4483","Eswatini","Neonatal.Disorders",-14.55
"3158","Lithuania","Drowning",-14.55
"5423","Burundi","Nutritional.Deficiencies",-14.51
"3935","Haiti","Nutritional.Deficiencies",-14.46
"5967","Azerbaijan","Diarrheal.Diseases",-14.31
"1030","Spain","Road.Injuries",-14.21
"3914","Haiti","Protein.Energy.Malnutrition",-14.2
"919","Sweden","Lower.Respiratory.Infections",-14.11
"5697","Bermuda","HIV.AIDS",-14.06
"5402","Burundi","Protein.Energy.Malnutrition",-13.93
"4825","Democratic Republic of Congo","Lower.Respiratory.Infections",-13.86
"2654","Montenegro","Neonatal.Disorders",-13.69
"2881","Mauritania","Nutritional.Deficiencies",-13.63
"3804","India","Tuberculosis",-13.59
"3584","Jamaica","Neonatal.Disorders",-13.57
"5733","Benin","Nutritional.Deficiencies",-13.55
"4388","Finland","Self.harm",-13.54
"5289","Cape Verde","Neonatal.Disorders",-13.53
"143","Venezuela","Neonatal.Disorders",-13.49
"3790","India","Protein.Energy.Malnutrition",-13.42
"2127","Oman","Neonatal.Disorders",-13.4
"6095","Argentina","Neonatal.Disorders",-13.4
"5712","Benin","Protein.Energy.Malnutrition",-13.39
"6060","Armenia","Diarrheal.Diseases",-13.39
"5141","Colombia","Interpersonal.Violence",-13.35
"3070","Malawi","Meningitis",-13.31
"3225","Liberia","Meningitis",-13.29
"3966","Guyana","Nutritional.Deficiencies",-13.29
"4946","Croatia","Self.harm",-13.28
"732","Thailand","Neonatal.Disorders",-13.25
"5113","Comoros","Nutritional.Deficiencies",-13.2
"2376","Nicaragua","Lower.Respiratory.Infections",-13.19
"4522","Estonia","Drowning",-13.17
"2860","Mauritania","Protein.Energy.Malnutrition",-13.13
"3149","Lithuania","Alcohol.Use.Disorders",-13.03
"4465","Ethiopia","Meningitis",-13.01
"1680","Russia","Chronic.Respiratory.Diseases",-12.87
"4328","Gabon","Neonatal.Disorders",-12.85
"4905","Cuba","Road.Injuries",-12.84
"3084","Madagascar","Diarrheal.Diseases",-12.82
"1681","Russia","Road.Injuries",-12.76
"1331","Sierra Leone","Nutritional.Deficiencies",-12.71
"5092","Comoros","Protein.Energy.Malnutrition",-12.65
"1310","Sierra Leone","Protein.Energy.Malnutrition",-12.63
"1486","Sao Tome and Principe","Nutritional.Deficiencies",-12.55
"63","Zambia","Meningitis",-12.54
"4665","Ecuador","Diarrheal.Diseases",-12.52
"2973","Mali","Malaria",-12.48
"236","Uruguay","Neonatal.Disorders",-12.45
"2781","Micronesia","Tuberculosis",-12.38
"379","Ukraine","Road.Injuries",-12.37
"1875","Philippines","Diarrheal.Diseases",-12.37
"3367","Kyrgyzstan","Neonatal.Disorders",-12.34
"5463","Bulgaria","Road.Injuries",-12.33
"4452","Ethiopia","Neonatal.Disorders",-12.22
"2526","Namibia","Diarrheal.Diseases",-12.2
"5971","Azerbaijan","Neonatal.Disorders",-12.13
"1712","Romania","Road.Injuries",-12.11
"768","Tanzania","HIV.AIDS",-12.06
"3990","Guinea-Bissau","Tuberculosis",-12.02
"4347","France","Road.Injuries",-12.02
"3492","Kazakhstan","Lower.Respiratory.Infections",-11.99
"6313","Afghanistan","Lower.Respiratory.Infections",-11.95
"2549","Myanmar","Road.Injuries",-11.94
"608","Tonga","Neonatal.Disorders",-11.91
"60","Zambia","Nutritional.Deficiencies",-11.78
"4000","Guinea-Bissau","Meningitis",-11.68
"1476","Sao Tome and Principe","Neonatal.Disorders",-11.65
"1465","Sao Tome and Principe","Protein.Energy.Malnutrition",-11.65
"2733","Moldova","Cirrhosis.and.Other.Chronic.Liver.Diseases",-11.61
"2574","Myanmar","Meningitis",-11.6
"4018","Guinea","Neonatal.Disorders",-11.59
"3148","Lithuania","Self.harm",-11.57
"1226","Slovenia","Self.harm",-11.54
"2539","Namibia","Malaria",-11.54
"1538","Samoa","Neonatal.Disorders",-11.52
"39","Zambia","Protein.Energy.Malnutrition",-11.5
"115","Vietnam","Tuberculosis",-11.43
"5029","Cook Islands","Road.Injuries",-11.36
"4337","Gabon","Malaria",-11.34
"3894","Honduras","Neonatal.Disorders",-11.26
"5462","Bulgaria","Chronic.Respiratory.Diseases",-11.21
"6052","Armenia","Road.Injuries",-11.19
"3945","Guyana","Protein.Energy.Malnutrition",-11.16
"2065","Palau","Neonatal.Disorders",-11.09
"973","Sudan","Conflict.and.Terrorism",-11.08
"1836","Poland","Road.Injuries",-11.04
"201","Uzbekistan","Diarrheal.Diseases",-11.02
"3727","Iran","Road.Injuries",-10.98
"1675","Rwanda","Meningitis",-10.88
"1009","Sri Lanka","Self.harm",-10.81
"1090","South Korea","Cirrhosis.and.Other.Chronic.Liver.Diseases",-10.76
"2354","Niger","Nutritional.Deficiencies",-10.68
"2333","Niger","Protein.Energy.Malnutrition",-10.56
"1247","Slovakia","Road.Injuries",-10.55
"4586","Equatorial Guinea","Nutritional.Deficiencies",-10.55
"735","Thailand","Tuberculosis",-10.53
"4149","Greenland","Interpersonal.Violence",-10.52
"4111","Grenada","Neonatal.Disorders",-10.52
"5473","Bulgaria","Self.harm",-10.49
"5773","Belgium","Road.Injuries",-10.48
"4331","Gabon","Tuberculosis",-10.38
"5990","Austria","Road.Injuries",-10.38
"4161","Greece","Road.Injuries",-10.36
"2698","Mongolia","Meningitis",-10.35
"4274","Georgia","Drowning",-10.31
"1423","Senegal","Malaria",-10.28
"1214","Slovenia","Cirrhosis.and.Other.Chronic.Liver.Diseases",-10.24
"3215","Liberia","Tuberculosis",-10.24
"4565","Equatorial Guinea","Protein.Energy.Malnutrition",-10.21
"1193","Solomon Islands","Diarrheal.Diseases",-10.17
"205","Uzbekistan","Neonatal.Disorders",-10.15
"2177","Northern Mariana Islands","Road.Injuries",-10.1
"484","Turkmenistan","Neonatal.Disorders",-10.02
"4669","Ecuador","Neonatal.Disorders",-10.01
"91","Yemen","Nutritional.Deficiencies",-10
"3863","Hungary","Neonatal.Disorders",-9.96
"70","Yemen","Protein.Energy.Malnutrition",-9.95
"6072","Armenia","Drowning",-9.94
"2748","Moldova","Lower.Respiratory.Infections",-9.92
"5168","China","Tuberculosis",-9.89
"1774","Puerto Rico","Road.Injuries",-9.85
"3253","Lesotho","Nutritional.Deficiencies",-9.8
"1415","Senegal","Lower.Respiratory.Infections",-9.76
"2765","Micronesia","Chronic.Respiratory.Diseases",-9.73
"3232","Lesotho","Protein.Energy.Malnutrition",-9.71
"3603","Italy","Road.Injuries",-9.69
"2755","Moldova","Drowning",-9.66
"4731","Dominica","Neonatal.Disorders",-9.65
"4112","Grenada","Lower.Respiratory.Infections",-9.65
"5640","Bolivia","Nutritional.Deficiencies",-9.63
"3834","Iceland","Cardiovascular.Diseases",-9.59999999999999
"5619","Bolivia","Protein.Energy.Malnutrition",-9.57
"4514","Estonia","Neonatal.Disorders",-9.55
"3485","Kazakhstan","Neoplasms",-9.48999999999999
"4521","Estonia","Interpersonal.Violence",-9.48
"4297","Gambia","Neonatal.Disorders",-9.43
"2221","North Macedonia","Lower.Respiratory.Infections",-9.42
"1848","Poland","Neonatal.Disorders",-9.41
"3305","Latvia","Neonatal.Disorders",-9.39
"3601","Italy","Cirrhosis.and.Other.Chronic.Liver.Diseases",-9.39
"4223","Germany","Road.Injuries",-9.37
"5680","Bermuda","Road.Injuries",-9.37
"28","Zimbabwe","Malaria",-9.36
"5347","Cameroon","Diarrheal.Diseases",-9.32
"2872","Mauritania","Lower.Respiratory.Infections",-9.31
"2216","North Macedonia","Diarrheal.Diseases",-9.2
"3810","India","Malaria",-9.17
"3709","Iraq","Lower.Respiratory.Infections",-9.14
"5671","Bhutan","Nutritional.Deficiencies",-9.14
"274","United States Virgin Islands","Interpersonal.Violence",-9.11
"2357","Niger","Meningitis",-9.05
"3418","Kiribati","Protein.Energy.Malnutrition",-8.98
"3439","Kiribati","Nutritional.Deficiencies",-8.98
"442","Tuvalu","Protein.Energy.Malnutrition",-8.93
"459","Tuvalu","Maternal.Disorders",-8.93
"463","Tuvalu","Nutritional.Deficiencies",-8.93
"466","Tuvalu","Meningitis",-8.93
"3150","Lithuania","Neonatal.Disorders",-8.93
"4052","Guatemala","Tuberculosis",-8.86
"4361","France","Cardiovascular.Diseases",-8.83000000000004
"2874","Mauritania","Tuberculosis",-8.83
"4951","Croatia","Tuberculosis",-8.67
"2394","New Zealand","Road.Injuries",-8.65
"4479","Eswatini","Diarrheal.Diseases",-8.61000000000001
"2570","Myanmar","Malaria",-8.61
"5197","Chile","Lower.Respiratory.Infections",-8.59
"6160","Angola","Tuberculosis",-8.57
"3342","Laos","Maternal.Disorders",-8.53
"5674","Bhutan","Meningitis",-8.51
"2345","Niger","Lower.Respiratory.Infections",-8.5
"1107","South Korea","Tuberculosis",-8.49
"3491","Kazakhstan","Neonatal.Disorders",-8.48
"704","Timor","Tuberculosis",-8.47
"945","Suriname","Diarrheal.Diseases",-8.47
"1007","Sri Lanka","Diarrheal.Diseases",-8.46
"391","Ukraine","Neonatal.Disorders",-8.45
"1693","Russia","Neonatal.Disorders",-8.4
"3487","Kazakhstan","Diarrheal.Diseases",-8.39
"1352","Seychelles","Neonatal.Disorders",-8.36
"4829","Democratic Republic of Congo","HIV.AIDS",-8.29
"4834","Democratic Republic of Congo","Nutritional.Deficiencies",-8.28
"773","Tanzania","Nutritional.Deficiencies",-8.28
"432","Uganda","Nutritional.Deficiencies",-8.27
"5987","Austria","Digestive.Diseases",-8.26000000000001
